sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Istanbul,3_Yasli_Ingilizler,Maiden,1400,Cim,56,3ykd,38,GokhanKOCAKAYA,8369
Ankara,4_Yasli_Araplar,SATIS_2,1400,Kum,56,4yak,36,MahsunTURAN,9874
Ankara,2_Yasli_Ingilizler,SARTLI_3,1400,Kum,52,2ydd,38,EmreAKKILIC,9178
Ankara,3_Yasli_Ingilizler,SARTLI_5,2400,Cim,56,3yde,71,MuslumCELIK,15633
Ankara,4_ve_Yukari_Araplar,Handikap_15_H1,1500,Kum,57,5yda,53,AkinSOZEN,10623
Ankara,3_Yasli_Araplar,Maiden,1200,Kum,53,3yae,33,NizamettinDEMIR,8514
Ankara,3_ve_Yukari_Ingilizler,SARTLI_4,1400,Kum,63,5yda,91,AhmetCELIK,8743
Ankara,3_Yasli_Ingilizler,Handikap_15_Disi_H1,2200,Cim,58,3ydd,52,MertGokalpARSLAN,13772
Ankara,4_ve_Yukari_Araplar,SARTLI_2,1300,Cim,56,5yka,47,MehmetSalihCELIK,8633
Kocaeli,3_Yasli_Araplar,SATIS_2,1200,Kum,55,3ykd,36,AhmetARSLAN,8722
Kocaeli,3_ve_Yukari_Ingilizler,SARTLI_5_Disi,1400,Kum,60,5yak,93,OzcanYILDIRIM,8885
Kocaeli,3_Yasli_Ingilizler,SARTLI_4,1800,Kum,58,3yke,45,FurkanYUKSEL,12145
Kocaeli,4_ve_Yukari_Araplar,KV_7_Disi,1900,Kum,61,4ykk,87,NurettinSEN,13882
Kocaeli,4_ve_Yukari_Araplar,Handikap_15_H2,1200,Kum,51.5,7yaa,37,GorkemOZCELIK,8351
Bursa,3_Yasli_Ingilizler,SARTLI_5,1900,Kum,58,3yae,54,MertcanCELIK,12512
Bursa,3_Yasli_Ingilizler,Maiden,2000,Cim,58,3yde,13,SercanTIRPAN,12744
Bursa,2_Yasli_Ingilizler,SARTLI_4_Disi,1200,Cim,53,2ydd,40,FurkanHIM,7221
Bursa,3_Yasli_Ingilizler,Handikap_15_H2,1400,Cim,57,3yde,45,MustafaCICEK,8488
Bursa,4_ve_Yukari_Araplar,Handikap_17_H2,1700,Cim,57,5yka,64,NurettinSEN,11477
Bursa,3_ve_Yukari_Ingilizler,SARTLI_3,1400,Cim,57,5yda,47,OnurOZTURK,8462
